Identificador	Nome	Nome da Mae	Nascimento	Sexo	CPF
ID_000000638	NILDENIR GUTERRES SALGUEIRO	MARIQUITA XISCO SOUZA GUTERRES	16-02-1921	M	375.937.092-64
ID_000000639	ONASIS GUTERRES	LUBA BONFIM GUTERRES	10-11-1964	M	707.243.197-78
ID_000000640	SIVA OURIQUE NASCIMENTO	ALMEZINA PINHEIRO MENEZES OURIQUE	22-07-1949	F	508.623.762-97
ID_000000641	DULCIELE BELEM	FRANCIRLETE MONTEIRO BELEM	09-08-1952	F	690.770.830-22
ID_000000642	JARLEIA VASQUES	CONCETA JESUS VASQUES	12-09-1977	F	745.437.946-05
ID_000000643	ERCIVAL DEBRAIL CALDEIRA SANTANA SALES	DACIENE CAPELO CALDEIRA	06-12-1913	M	933.313.732-73
ID_000000644	LEVISON LAMARCK FERNANDES MOREIRA DA ROCHA	NAGILENE MUNIZ FERNANDES	18-08-2013	M	625.564.163-51
ID_000000645	VALDEJAN BITTENCOURT PINHEIRO	FRANCILEILA CUNHA AGOSTINHO BITTENCOURT	19-10-1934	M	917.398.898-78
ID_000000646	ELOINDA RIBEIRO	TASILA SILVA RIBEIRO	02-03-2007	F	305.546.986-09
ID_000000647	EGUINALDO APARICIO CUSTODIO NOGUEIRA	CLETIANE DOMINGUES SOUZA CUSTODIO	17-07-1919	M	741.337.990-20
ID_000000648	EUMIRA ARAGAO	ARLEIA SALES ARAGAO	17-05-1989	F	320.354.724-40
ID_000000649	SEM BOAVENTURA	DONINA ESPINOSA BOAVENTURA	23-11-1939	M	197.587.723-33
ID_000000650	ROSANIA GILNAIDE ALMEIDA CORTE REAL ZAGANELLI	MARLINEIDE CAETANO ALMEIDA	24-06-1974	F	376.698.375-00
ID_000000651	JONARIO ESPINOSA GUTERRES TAVEIRA	REINI CASTRO FELIX GUTERRES	17-08-1937	M	260.699.954-14
ID_000000652	DIOGINI ABDALLA REBELO ALVIM VIEIRA	JANAIRES PADILHA REBELO	17-10-1903	M	974.909.097-75
ID_000000653	JANERSON QUARTEIRA MACHADO MENDES	VAINE FELIX LANCASTRE MACHADO	07-05-1937	M	454.374.281-89
ID_000000654	SINELSON NASCIMENTO	LERICA SALES NASCIMENTO	27-09-1959	M	904.817.601-80
ID_000000655	LECIONE DA ROCHA BEIRAMAR PINHEIRO	EDNAIDE GONCALVES CONCEICAO BEIRAMAR	18-12-2017	F	262.451.326-49
ID_000000656	EDINEI SOUZA	ANANETE DORNELES SOUZA	19-05-1913	F	716.654.655-73
ID_000000657	ESPERDIAO RODRIGUES	ELOETE PADILHA RODRIGUES	16-01-2000	M	508.018.503-12
ID_000000658	TEOTONHO ESPINOSA	JESONILDA MEDEIROS ESPINOSA	06-08-1981	M	988.320.444-20
ID_000000659	ORILDA DUARTE GOMES SANCHES	LIDIELE OLIVEIRA AGOSTINHO GOMES	21-11-1958	F	271.666.106-54
ID_000000660	KADIMA LEIRIA INFANTE	LUCIAMAR FERREIRA SALGADO LEIRIA	01-07-1954	F	070.563.841-37
ID_000000661	OLENTINO CORTES	LUZANIRA ALBUQUERQUE CORTES	17-10-2019	M	003.792.877-57
ID_000000662	EDSANDRO DA CRUZ SILVA FARIAS	NAA NOVAES LESSA SILVA	15-07-1945	M	989.001.545-59
ID_000000663	ELIVANDER FOGACA BARBOSA CAPELO	DACIELMA CHAVES DA PAZ BARBOSA	21-04-1999	M	177.827.086-72
ID_000000664	GEANILTON NOVAIS CURADO MOURA	ANNEMARIE DRUMOND CAMILO CURADO	05-04-1969	M	161.318.339-90
ID_000000665	JURISMAR TINA ESCOBAR MORAES BAPTISTA	JOSIVALDA VARELA ESCOBAR	01-05-1913	M	662.358.173-12
ID_000000666	AUDIENE GIL COSTA CALIXTO	ARINES SILVA ALVIM COSTA	05-06-2019	F	275.489.106-49
ID_000000667	FLORDELIS CUNHA	EDELCIA VIANA CUNHA	11-06-1975	F	384.439.112-63
ID_000000668	EUDOXIO CURADO AGOSTINHO DA ROSA	MARIONETE DANTAS MALDONADO AGOSTINHO	15-08-1958	M	885.743.527-05
ID_000000669	ADELCI MOREIRA CONCEICAO	DONINA MEIRELES ALENCASTRO MOREIRA	10-10-1904	M	565.455.981-80
ID_000000670	CHRISTOS MELLO SILVA BITTENCOURT	IRCA DA LUZ ROCHA SILVA	05-03-1961	M	693.113.638-04
ID_000000671	DELZIRENE MARIMILTON SALES DA CONCEICAO DA CUNHA	GEORGIA ALBUQUERQUE SALES	24-08-1907	F	381.165.995-26
ID_000000672	IRATAN GASTONE MENDES GENTIL SALES	ANERICA APARICIO MENDES	05-10-2019	M	070.483.719-60
ID_000000673	ANAZITA LEIRIA PEIXOTO	ARIETE BRITO DA ROSA LEIRIA	15-08-1917	F	564.739.700-02
ID_000000674	ROSVITA LUZIELE SANTANA CORTES VASCONCELOS	BETSAIDA DA PAZ SANTANA	13-02-1988	F	222.030.509-00
ID_000000675	PERISVALDO LEIRIA PERES	ROSANGELE DOS REIS ESTEVES LEIRIA	14-01-1995	M	066.152.686-04
ID_000000676	AURINA FERNANDES QUEIROZ DA CONCEICAO	LEOVANIA VILELA CORTES QUEIROZ	11-10-1986	F	240.954.499-18
ID_000000677	NILZANGELA FERRARI SOUSA GOMES	ENDIRA ALEGRIA CALIXTO SOUSA	07-04-1989	F	502.876.010-13
ID_000000678	LOROAMA TEIXEIRA NOGUEIRA GONCALVES	ERINEA BRITES TEIXEIRA NOGUEIRA	24-12-1936	F	966.164.415-20
ID_000000679	EUCELINA VASQUES DAVILA NASCIMENTO	CRISTAL ALENCASTRO APOLINARIO DAVILA	09-11-1911	F	659.778.595-97
ID_000000680	CLEVERSO PERALTA	MARCIETE REZENDE PERALTA	04-05-1941	M	812.293.578-82
ID_000000681	QUERUBINO PORTELA CARDOSO VEIGA	PATRICIANE NOGUEIRA FARIAS CARDOSO	03-03-1908	M	666.278.132-03
ID_000000682	ELIEZEL BARRETO	DIRVA ALVES BARRETO	23-03-1976	M	134.185.685-21
ID_000000683	JEFERSON ODARCI MEIRELES SALES MAGALHAES	FRANCIENI RESENDE MEIRELES	08-11-1953	M	363.078.156-04
ID_000000684	EDINAIRA JOSA SOUZA PILAR DANTAS	LUCINARA SOUSA SOUZA	18-12-1989	F	422.115.061-00
ID_000000685	DEUSUITA FOGACA	JOLANGE MENDES FOGACA	25-04-1965	F	889.708.215-70
ID_000000686	ELISSONIA GASPAR	IDINE CAMPOS GASPAR	10-05-2010	F	466.170.649-84
ID_000000687	ORSINA PABLA LESSA FLORES ROCHA	MARINELE QUARTEIRA LESSA	16-03-1943	F	836.245.581-02
ID_000000688	NOBUKO LINDIANE SALGADO MEIRELES RAMOS	VALDIENI LEIRIA SALGADO	12-03-2000	F	907.361.133-47
ID_000000689	KATIURCIA VIANA SILVA VILELA	NONICA GENTIL DA CONCEICAO SILVA	27-06-1986	F	436.921.733-42
ID_000000690	CLAISSA FLORES JORDAO	BERENICE BEIRAMAR SOUSA FLORES	02-10-1910	F	819.489.694-08
ID_000000691	EVERONICA ARAGAO GONZAGA	VALCIDIA ESCOBAR ALMEIDA ARAGAO	24-08-1986	F	639.413.992-09
ID_000000692	ANDREANE NASCIMENTO PARAISO	MARDILENE GODINHO VIANA NASCIMENTO	26-02-1947	F	653.607.183-23
ID_000000693	ZUREIDE RODRIGUES	VANARA SILVA RODRIGUES	03-12-1961	F	691.868.048-04
ID_000000694	JUSCELITO APOLINARIO GASPAR RAMIRES	GERTUDES CORDOBA PEREIRA GASPAR	18-02-1972	M	574.844.101-28
ID_000000695	TAIN VARELA	WANDERLENE ASSIS VARELA	07-12-1976	F	111.891.208-01
ID_000000696	VIVIANIA LIMA RIBEIRO	GERCINEIA RAMOS SOUSA LIMA	16-05-1949	F	708.689.033-29
ID_000000697	LEDJANE LIMA ALMADA DA COSTA	CEBILA MENDES ALVES ALMADA	04-12-1932	F	963.736.323-85
ID_000000698	GILDEANE VIEIRA XIMENES	SASQUIA SILVA OLIVEIRA VIEIRA	16-02-1968	F	736.595.964-93
ID_000000699	AMIN AGOSTINHO SOUSA ALEGRIA	ATALANTA REZENDE PORTELA SOUSA	23-01-2014	M	892.353.313-07
ID_000000700	ELIZABTH DA CONCEICAO FREITAS	LEDERCI BARROS GOMES DA CONCEICAO	25-12-1996	F	139.355.242-00
